gene p.value alpha alpha_low alpha_high p.adj
dus 0.3140125360052202 0.799130459794791 0.03576149288027797 106.24316180765541 0.8487497109982873
dut 0.09094827427089937 45.91472050178406 0.03667020329148604 106.38689353561787 0.8487497109982873
dxr 0.18810842074328923 1.101162904995634 0.03636153921507652 106.28350562825638 0.8487497109982873
eapA 0.0013470392818179626 104.2019063789559 1.247312894356885 106.37252443676435 0.6945827860134576
echA8 0.020845023661811856 104.49234027598115 1.049283036128414 106.38492367773233 0.8487497109982873
eis 0.19404686003670005 105.33792392912784 2.4907246928590108 106.38420855739872 0.8487497109982873
ercc3 0.031239764601021378 103.86963839396117 1.6779696119549563 106.35740140447251 0.8487497109982873
etfA 0.08796543017184699 98.69290224811743 2.422812426696256 106.35529056592 0.8487497109982873
etfB 0.20421242218012967 104.56412979040468 2.151435540435248 106.37320742838914 0.8487497109982873
etp 0.04363643914025511 104.7149747880278 2.1193702743649747 106.362903587844 0.8487497109982873
exoA 0.5108242802079368 105.26119149570596 0.46027774917207454 106.3540406637875 0.8487497109982873
fabF 0.264082590085591 104.83637023945448 1.7116937145997888 106.35188384304803 0.8487497109982873
fabG3 0.6689888478755538 104.74615298219442 3.906229757824361 106.33422396704509 0.8487497109982873
fadA 0.21374641356343466 105.39637913311577 1.849046143051429 106.37073388130553 0.8487497109982873
fadA3 0.031239764601021378 104.89173977819384 1.594463515630661 106.36568246187389 0.8487497109982873
fadB 0.11666802223776898 105.63195669038774 1.5114150655875083 106.3872289208909 0.8487497109982873
fadD 0.7526570811604786 103.92713389729249 1.1955892542726478 106.37773621300657 0.8487497109982873
fadD2 0.17175814281233662 93.98780084912399 2.059047611380206 106.35436525651639 0.8487497109982873
fadE19 0.19404686003670005 103.764174879303 1.010501517000955 106.35907245536248 0.8487497109982873
fadE9 0.051628498013013134 102.46400939128355 1.140182276256618 106.35089349730112 0.8487497109982873
fahA 0.03531789724394174 104.57299094468975 0.36581460966791857 106.37012738061638 0.8487497109982873
fbaA 0.10885956726015385 105.36577086764922 2.474706562256962 106.33819590218889 0.8487497109982873
fbiB 0.013384350166798785 103.18749330364767 1.629762484670313 106.34003139088716 0.8487497109982873
fdhA 0.6479948173731027 105.76026602569195 1.152639810373189 106.37461212239732 0.8487497109982873
fdhD 0.014582056546292157 61.03220068716382 0.19722495612342375 106.36701250523765 0.8487497109982873
fdhF 0.4225521346532076 104.34476314897657 2.5232333525532646 106.3489886006027 0.8487497109982873
fdxA 0.6560462321468763 105.62063115426304 3.1959363756576646 106.38985030968689 0.8487497109982873
ffh 0.9218570493457179 104.8217319579152 13.758574582311866 106.37332326675956 0.9478740396577762
fgd 0.031239764601021378 104.40934468404697 3.253839455327461 106.36443137146588 0.8487497109982873
fhaA 0.031239764601021378 103.40563382836342 1.5835057579504817 106.38217755380578 0.8487497109982873
fhaB 0.06857690313921547 103.26024291285788 1.5775521915826476 106.36965022548631 0.8487497109982873
fhs 0.5116676494351504 33.63926242500057 0.23799851221945756 106.34397801720303 0.8487497109982873
fhuC 0.04434622929743098 105.30443844286005 0.03702324024101243 106.37935974149985 0.8487497109982873
fkbP 0.059373993326347796 42.001904769854434 1.599782393289866 106.35687293379759 0.8487497109982873
fmu 0.031239764601021378 103.02757778477897 2.1995490516187135 106.37752045988992 0.8487497109982873
folA 0.04841954987594294 104.22640848537843 0.03635686006524265 106.36433224366661 0.8487497109982873
folB 0.6127365654363282 102.47114554502076 0.03785269030181029 106.35986166002085 0.8487497109982873
folE 0.7153918214806607 105.59614762927893 6.199228306398023 106.38273874914842 0.8487497109982873
folK 0.6793372744216413 0.5266097414938065 0.03639140860670305 106.06932649538967 0.8487497109982873
folP 0.8406013743878251 0.9327372041435024 0.03611103707899628 106.33245979792538 0.8863172886985157
