community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_h_e	1.0	0.01	1	0.01
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_pi_e	1.0	0.95	1	0.95
all	minimal	lane121s003995_shovill	lane122s000600_bin.1.s	M_thr__L_e	1.0	1.0	1	1.0
all	minimal	lane121s003995_shovill	lane122s000600_bin.2.o	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane122s000600_bin.2.o	M_bz_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.2.o	M_dha_e	0.06060606060606061	0.18	1	0.010909090909090908
all	minimal	lane121s003995_shovill	lane122s000600_bin.2.o	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane122s000600_bin.2.o	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane122s000600_bin.2.o	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.3.p	M_acac_e	0.06060606060606061	0.03	1	0.0018181818181818182
all	minimal	lane121s003995_shovill	lane122s000600_bin.3.p	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane122s000600_bin.3.p	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane122s000600_bin.3.p	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane122s000600_bin.3.p	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.3.p	M_leu__L_e	0.06060606060606061	0.02	1	0.0012121212121212121
all	minimal	lane121s003995_shovill	lane122s000600_bin.3.p	M_pi_e	0.06060606060606061	0.95	1	0.05757575757575757
all	minimal	lane121s003995_shovill	lane122s000600_bin.3.p	M_ppap_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.4.o	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
