model	metabolite
lane122s000518_bin.1.p	h
lane122s000518_bin.1.p	k
lane122s000518_bin.1.p	malthx
lane122s000518_bin.1.p	malttr
lane122s000518_bin.1.p	maltttr
lane122s000518_bin.1.p	mantr
lane122s000518_bin.1.p	manttr
lane122s000518_bin.1.p	mg2
lane122s000518_bin.1.p	mn2
lane122s000518_bin.1.p	nmn
lane122s000518_bin.1.p	o2
lane122s000518_bin.1.p	so4
lane122s000518_bin.1.p	thm
lane122s000518_bin.1.p	xylan8
lane122s000518_bin.1.p	zn2
lane122s000519_bin.1.s	14glucan
lane122s000519_bin.1.s	arbt
lane122s000519_bin.1.s	ca2
lane122s000519_bin.1.s	cellb
lane122s000519_bin.1.s	cl
lane122s000519_bin.1.s	cobalt2
lane122s000519_bin.1.s	cu2
lane122s000519_bin.1.s	dextrin
lane122s000519_bin.1.s	fe2
lane122s000519_bin.1.s	fru
lane122s000519_bin.1.s	galt
lane122s000519_bin.1.s	gam
lane122s000519_bin.1.s	glc__D
lane122s000519_bin.1.s	k
lane122s000519_bin.1.s	malt
lane122s000519_bin.1.s	malthx
lane122s000519_bin.1.s	mg2
lane122s000519_bin.1.s	mn2
lane122s000519_bin.1.s	mnl
lane122s000519_bin.1.s	o2
lane122s000519_bin.1.s	salcn
lane122s000519_bin.1.s	sucr
lane122s000519_bin.1.s	tre
lane122s000519_bin.1.s	zn2
lane122s000519_bin.2.s	arbt
lane122s000519_bin.2.s	ca2
lane122s000519_bin.2.s	cell6
lane122s000519_bin.2.s	cellb
lane122s000519_bin.2.s	cl
lane122s000519_bin.2.s	cobalt2
lane122s000519_bin.2.s	fru
lane122s000519_bin.2.s	gam
lane122s000519_bin.2.s	glc__D
lane122s000519_bin.2.s	k
lane122s000519_bin.2.s	malt
lane122s000519_bin.2.s	man
lane122s000519_bin.2.s	mg2
lane122s000519_bin.2.s	mn2
lane122s000519_bin.2.s	mnl
lane122s000519_bin.2.s	o2
lane122s000519_bin.2.s	salcn
lane122s000519_bin.2.s	sucr
lane122s000519_bin.2.s	tgt
lane122s000519_bin.2.s	tre
lane122s000519_bin.2.s	udcpp
lane122s000519_bin.2.s	zn2
lane122s000519_bin.3.s	arg__L
lane122s000519_bin.3.s	ca2
lane122s000519_bin.3.s	cellb
lane122s000519_bin.3.s	cl
lane122s000519_bin.3.s	cobalt2
lane122s000519_bin.3.s	cu2
lane122s000519_bin.3.s	galman4
lane122s000519_bin.3.s	galman6
lane122s000519_bin.3.s	glcman4
lane122s000519_bin.3.s	glcman6
lane122s000519_bin.3.s	k
lane122s000519_bin.3.s	malt
lane122s000519_bin.3.s	malthx
lane122s000519_bin.3.s	malttr
lane122s000519_bin.3.s	maltttr
lane122s000519_bin.3.s	mg2
lane122s000519_bin.3.s	mn2
lane122s000519_bin.3.s	no3
lane122s000519_bin.3.s	o2
lane122s000519_bin.3.s	sucr
lane122s000519_bin.3.s	tre
lane122s000519_bin.3.s	zn2
lane122s000520_bin.1.p	arbt
lane122s000520_bin.1.p	ca2
lane122s000520_bin.1.p	cl
lane122s000520_bin.1.p	cobalt2
lane122s000520_bin.1.p	fru
lane122s000520_bin.1.p	g3pi
lane122s000520_bin.1.p	g3ps
lane122s000520_bin.1.p	gal_bD
lane122s000520_bin.1.p	gal
lane122s000520_bin.1.p	glc__D
lane122s000520_bin.1.p	glyald
lane122s000520_bin.1.p	glyc
lane122s000520_bin.1.p	h2o
lane122s000520_bin.1.p	h
lane122s000520_bin.1.p	k
lane122s000520_bin.1.p	lyx__L
lane122s000520_bin.1.p	malt
lane122s000520_bin.1.p	malthx
lane122s000520_bin.1.p	mg2
lane122s000520_bin.1.p	mn2
lane122s000520_bin.1.p	mnl
lane122s000520_bin.1.p	nh4
lane122s000520_bin.1.p	no3
lane122s000520_bin.1.p	o2
lane122s000520_bin.1.p	sbt__D
lane122s000520_bin.1.p	sucr
lane122s000520_bin.1.p	tre
lane122s000520_bin.1.p	zn2
lane122s000521_bin.1.s	ca2
lane122s000521_bin.1.s	cellb
lane122s000521_bin.1.s	cl
lane122s000521_bin.1.s	cobalt2
lane122s000521_bin.1.s	cyan
lane122s000521_bin.1.s	fru
lane122s000521_bin.1.s	gam
lane122s000521_bin.1.s	glc__D
lane122s000521_bin.1.s	glyc
lane122s000521_bin.1.s	gthrd
lane122s000521_bin.1.s	h2
lane122s000521_bin.1.s	h2o2
lane122s000521_bin.1.s	h2o
lane122s000521_bin.1.s	h
lane122s000521_bin.1.s	ham
lane122s000521_bin.1.s	k
lane122s000521_bin.1.s	malt
lane122s000521_bin.1.s	man
lane122s000521_bin.1.s	mg2
lane122s000521_bin.1.s	mn2
lane122s000521_bin.1.s	mnl
lane122s000521_bin.1.s	nh4
lane122s000521_bin.1.s	no2
lane122s000521_bin.1.s	no3
lane122s000521_bin.1.s	no
lane122s000521_bin.1.s	o2
lane122s000521_bin.1.s	s
lane122s000521_bin.1.s	sucr
