model	metabolite
lane122s000538_bin.1.p	mg2
lane122s000538_bin.1.p	mn2
lane122s000538_bin.1.p	zn2
lane122s000539_shovill	ca2
lane122s000539_shovill	cl
lane122s000539_shovill	cobalt2
lane122s000539_shovill	cu2
lane122s000539_shovill	fe2
lane122s000539_shovill	k
lane122s000539_shovill	mg2
lane122s000539_shovill	mn2
lane122s000539_shovill	zn2
lane122s000540_bin.1.p	ca2
lane122s000540_bin.1.p	cl
lane122s000540_bin.1.p	cobalt2
lane122s000540_bin.1.p	cu2
lane122s000540_bin.1.p	k
lane122s000540_bin.1.p	mg2
lane122s000540_bin.1.p	mn2
lane122s000540_bin.1.p	zn2
lane122s000540_bin.2.p	ca2
lane122s000540_bin.2.p	cl
lane122s000540_bin.2.p	cobalt2
lane122s000540_bin.2.p	k
lane122s000540_bin.2.p	mg2
lane122s000540_bin.2.p	mn2
lane122s000540_bin.2.p	o2
lane122s000540_bin.2.p	zn2
lane122s000541_shovill	ca2
lane122s000541_shovill	cl
lane122s000541_shovill	cobalt2
lane122s000541_shovill	k
lane122s000541_shovill	mg2
lane122s000541_shovill	mn2
lane122s000541_shovill	zn2
lane122s000542_bin.1.s	ca2
lane122s000542_bin.1.s	cl
lane122s000542_bin.1.s	cobalt2
lane122s000542_bin.1.s	csn
lane122s000542_bin.1.s	k
lane122s000542_bin.1.s	mg2
lane122s000542_bin.1.s	mn2
lane122s000542_bin.1.s	ribflv
lane122s000542_bin.1.s	so4
lane122s000542_bin.1.s	thm
lane122s000542_bin.1.s	zn2
lane122s000543_bin.1.p	ca2
lane122s000543_bin.1.p	cl
lane122s000543_bin.1.p	cobalt2
lane122s000543_bin.1.p	k
lane122s000543_bin.1.p	mg2
lane122s000543_bin.1.p	mn2
lane122s000543_bin.1.p	o2
lane122s000543_bin.1.p	thm
lane122s000543_bin.1.p	zn2
lane122s000544_bin.1.s	ca2
lane122s000544_bin.1.s	cl
lane122s000544_bin.1.s	cobalt2
lane122s000544_bin.1.s	k
lane122s000544_bin.1.s	mg2
lane122s000544_bin.1.s	mn2
lane122s000544_bin.1.s	zn2
lane122s000545_shovill	ca2
lane122s000545_shovill	cl
lane122s000545_shovill	cobalt2
lane122s000545_shovill	k
lane122s000545_shovill	mg2
lane122s000545_shovill	mn2
lane122s000545_shovill	o2
lane122s000545_shovill	zn2
lane122s000599_bin.1.p	ca2
lane122s000599_bin.1.p	cl
lane122s000599_bin.1.p	cobalt2
lane122s000599_bin.1.p	cu2
lane122s000599_bin.1.p	k
lane122s000599_bin.1.p	lys__L
lane122s000599_bin.1.p	mg2
lane122s000599_bin.1.p	mn2
lane122s000599_bin.1.p	o2
lane122s000599_bin.1.p	ribflv
lane122s000599_bin.1.p	zn2
lane122s000600_bin.1.s	ca2
lane122s000600_bin.1.s	cl
lane122s000600_bin.1.s	cobalt2
lane122s000600_bin.1.s	k
lane122s000600_bin.1.s	lys__L
lane122s000600_bin.1.s	mg2
lane122s000600_bin.1.s	mn2
lane122s000600_bin.1.s	o2
lane122s000600_bin.1.s	zn2
lane122s000600_bin.2.o	asn__L
lane122s000600_bin.2.o	ca2
lane122s000600_bin.2.o	cl
lane122s000600_bin.2.o	cobalt2
lane122s000600_bin.2.o	gln__L
lane122s000600_bin.2.o	ile__L
lane122s000600_bin.2.o	k
lane122s000600_bin.2.o	leu__L
lane122s000600_bin.2.o	lys__L
lane122s000600_bin.2.o	mg2
lane122s000600_bin.2.o	mn2
lane122s000600_bin.2.o	val__L
lane122s000600_bin.2.o	zn2
lane122s000600_bin.3.p	arg__L
lane122s000600_bin.3.p	ca2
lane122s000600_bin.3.p	cl
lane122s000600_bin.3.p	cobalt2
lane122s000600_bin.3.p	cu2
lane122s000600_bin.3.p	gln__L
lane122s000600_bin.3.p	k
lane122s000600_bin.3.p	mg2
lane122s000600_bin.3.p	mn2
lane122s000600_bin.3.p	tyr__L
lane122s000600_bin.3.p	val__L
lane122s000600_bin.3.p	zn2
lane122s000600_bin.4.o	ca2
lane122s000600_bin.4.o	cl
lane122s000600_bin.4.o	cobalt2
lane122s000600_bin.4.o	k
lane122s000600_bin.4.o	lys__L
lane122s000600_bin.4.o	mg2
lane122s000600_bin.4.o	mn2
lane122s000600_bin.4.o	phe__L
lane122s000600_bin.4.o	ribflv
lane122s000600_bin.4.o	so4
lane122s000600_bin.4.o	tyr__L
lane122s000600_bin.4.o	zn2
lane122s000600_bin.5.s	ca2
lane122s000600_bin.5.s	cl
lane122s000600_bin.5.s	cobalt2
lane122s000600_bin.5.s	cu2
